min,max,rainfall
8,19.3,5.3
10,21,4.4
14.5,25.3,6.5
18.7,29.4,2.6
21,31.5,16.4
19.8,29.1,101.6
18.7,24.5,573.2
17.8,22.7,600.3
17.6,24.5,214.2
16.2,26.7,19.4
12.1,23.8,7.9
9,20.9,2.4
10,25.6,27.5
13.2,28.3,21.5
18.7,32.5,60.7
22.2,33.7,199.7
23.5,32.8,329.9
24.6,31.8,393.4
24.8,31.4,363.1
24.7,31.7,298.7
24.3,31.7,232.4
22,31.1,162.5
16.6,29.2,46
11.3,26.4,10.6
7.7,22.3,13.2
10.3,25.5,17.6
15.5,31.9,9.3
21.5,37.9,6.3
26.5,41.7,11.3
28.9,40.7,55.7
26.8,35.3,203.3
25.7,33.2,243.2
24.3,34,129.7
19.1,34,24.8
12.5,29.2,4.3
8.2,23.9,6.1
13.1,28.7,2.1
14.8,31,1.2
19.4,35.9,1.1
23.5,39.5,1.9
26.3,41.4,9.1
27.2,38.5,97.4
25.7,33.5,309.8
24.9,32,213.8
24.4,33.5,126.6
21.9,35.8,13.5
17.5,33.2,6.1
14.1,29.9,1.7
11.4,20.4,13.4
12.8,21.7,23.4
15.6,25.2,73.4
17.5,26.8,167.7
18.1,26.3,289
18.9,25.5,406.1
19.1,25.3,320.4
19.1,25.5,320.6
19.2,25.7,305.2
18,24.7,183.7
15.1,23,43.2
12.2,21,15.3
7.6,22.9,7.3
10.3,25.7,6
16,31.3,5
22.2,36.5,4
26.8,39.7,15.7
27.5,38.4,58.1
25.6,33.6,181.5
24.4,31.3,157.5
23.7,32.6,73
18.8,33.5,13.1
12.3,29.2,4
8.4,24.7,3.8
13.1,29.9,10.4
15.4,32.8,8.1
19.7,37.3,10
24.2,40.9,4.1
27.3,42.5,9.8
25.5,37.6,144.9
23.5,32.4,217.2
23,30.6,196.6
22.5,32.5,122.7
19.7,34.1,47.7
15.6,31.7,18.7
12.4,29.5,12.1
8.9,23.5,17.9
11.4,26.7,17.3
16.6,33.4,9.6
22.3,39.1,5.5
26.7,41.8,8.8
28.5,39.8,88.8
26.6,34,280.9
25.9,32.5,296.1
25,33,185
20.2,33,36.6
13.5,29.2,9.3
9.4,24.6,7
8.7,23.5,22.6
11.3,26.8,22.5
15.6,32,18.4
20.8,36.8,13
24.7,39.4,19.4
24.8,35.5,211.2
23.2,29.7,428.3
22.9,29.3,389.8
22.1,29.8,227.2
18.1,29.5,56.8
12.2,26.5,9.7
8.5,23.8,6.5
23.6,31.2,15.9
24.5,31.7,2.9
25.3,32.5,3.8
26.7,33.3,22.6
27.1,33,131.1
25.7,30.4,371.1
25.3,29.6,314.5
25.3,29.6,214
25.3,30,149.9
25.1,30.5,139.2
24.5,31,88.6
23.7,31.1,38.5
3.9,19.2,28.3
6.3,21.9,29.2
11,26.9,34.8
16.2,33.9,19.3
21.2,38.8,19.6
24.9,39.8,51.7
25.6,35.3,224.7
25.2,34.3,174.5
22.7,34.4,94.6
15.7,32.3,21.3
8.6,27,5.7
4.3,21.3,14.6
17.4,30.4,0.9
19.3,33.7,1.3
22.4,37.1,4.7
25.8,38.9,16.9
26.2,38.8,55
25,35.4,55.8
24.2,33.3,62.7
23.8,32.8,75.3
23.4,32.8,133.2
22.5,31.8,104.7
20.1,30.1,37.8
17.7,29.1,11.2
24.4,30.3,10.5
24.8,30.9,2.4
25.5,32.2,6
26.3,33.1,25.9
26.4,32.8,130.4
24.9,30.5,401.7
24.3,29.9,486.1
24.9,30.1,238.6
24.7,30,182.2
24.7,30.5,166.5
24.1,30.4,129.8
24,30.7,90.2
11,29,11.3
13,31.7,2.7
17.6,35.6,5.6
21.9,38.5,3.9
23.9,39.5,26.2
22.9,34.7,132.2
21.7,30.3,157.9
21.1,29.2,152.7
20.6,30.3,146
18,31.8,62.1
13.7,30,26.8
10.7,28.4,12
13.9,27,17
16.7,29.5,36.3
21,33.7,39.4
24.4,36,54.8
26,36.1,108.6
26.2,34.2,233.4
25.8,31.8,297.9
25.8,31.4,318.3
25.5,31.7,275.8
23,31.3,184
17.8,29.2,41.6
13.7,26.9,6.5
15,27.4,4.9
16.6,30.1,7.9
19,32.8,10
21.3,33.9,43.9
21.1,33.1,111.9
19.8,29.4,79.7
19.3,27.7,109.7
19.2,27.6,138.8
19.1,28.1,185.9
18.9,27.9,161.7
17.2,26.8,59.2
15.4,26.2,17.4
8.3,21.6,22.9
10.4,24,25.3
15.2,30.6,14.5
20.9,36.8,8.9
25.1,39.9,19.3
27,38.6,106.4
26.1,33.9,307
25.8,32.6,290.9
24.4,33,186.1
19.3,32.3,44.9
12.7,28,3.9
8.8,23.2,9.7
12.5,29.5,2.2
14.2,31.9,0.7
18.4,36.2,0.7
23,39.2,1.4
26.6,40.1,6.1
27,36.8,118.9
25.8,32.5,274.6
25,31.4,242.4
24.5,33,124.2
21.4,35.5,26.4
16.9,33.4,13.3
13.7,30.7,3.7
14.6,29.2,1.1
15.7,31.7,2.1
18.5,34.6,10.6
20.4,35.8,45.1
